marker_id,marker_type,distance,horizontal,vertical,eye,sample_index,dx,dy
1,REF,40.0,0.0,0.0,L,0,-48.42342809528517,26.902295413704074
1,REF,40.0,0.0,0.0,R,0,45.05014670959802,26.110640689684445
1,REF,40.0,0.0,0.0,L,1,-48.198944569579695,27.35531209678167
1,REF,40.0,0.0,0.0,R,1,45.427519281038656,26.602683083755657
1,REF,40.0,0.0,0.0,L,2,-43.619213681132486,28.2929443564681
1,REF,40.0,0.0,0.0,R,2,50.07147384250578,28.33990198766701
1,REF,40.0,0.0,0.0,L,3,-41.8607938601612,29.124044872084742
1,REF,40.0,0.0,0.0,R,3,51.371675442125145,28.16073832698777
1,REF,40.0,0.0,0.0,L,4,-41.31897788778636,29.00178386606056
1,REF,40.0,0.0,0.0,R,4,52.1729590037309,28.750864526637873
1,REF,40.0,0.0,0.0,L,5,-41.260688197919855,28.18584317862819
1,REF,40.0,0.0,0.0,R,5,51.79333445307765,28.202378940944094
1,REF,40.0,0.0,0.0,L,6,-41.14336192168141,28.489386676682543
1,REF,40.0,0.0,0.0,R,6,52.31976053525453,28.91924405131472
1,REF,40.0,0.0,0.0,L,7,-40.86126623337746,29.446245949703936
1,REF,40.0,0.0,0.0,R,7,52.48904260527328,29.609358160725233
1,REF,40.0,0.0,0.0,L,8,-41.00071148847639,28.98216164236713
1,REF,40.0,0.0,0.0,R,8,51.85148731797578,29.61019615499733
1,REF,40.0,0.0,0.0,L,9,-40.733475470618586,29.013810633646013
1,REF,40.0,0.0,0.0,R,9,51.05821273158061,29.99592577161289
1,REF,40.0,0.0,0.0,L,10,-41.06127513971784,28.71065091584046
1,REF,40.0,0.0,0.0,R,10,52.10622018125741,29.87661666013367
1,REF,40.0,0.0,0.0,L,11,-41.895823312458404,28.950661984703128
1,REF,40.0,0.0,0.0,R,11,50.62159855766104,30.314302426869723
1,REF,40.0,0.0,0.0,L,12,-41.47413253466968,28.038484385681787
1,REF,40.0,0.0,0.0,R,12,49.666249002072504,30.815438663701748
1,REF,40.0,0.0,0.0,L,13,-40.94752752448912,28.732597623119897
1,REF,40.0,0.0,0.0,R,13,49.792194961345764,30.674895566907832
1,REF,40.0,0.0,0.0,L,14,-40.82263482340065,28.678010017845896
1,REF,40.0,0.0,0.0,R,14,49.72191790124434,30.76189071601423
1,REF,40.0,0.0,0.0,L,15,-40.53932709010046,28.268911356267367
1,REF,40.0,0.0,0.0,R,15,49.05213815090529,30.65672315479523
1,REF,40.0,0.0,0.0,L,16,-40.74623761699178,28.08901034600444
1,REF,40.0,0.0,0.0,R,16,48.73488730928159,30.940243861135396
1,REF,40.0,0.0,0.0,L,17,-40.80781020461755,28.33777194925142
1,REF,40.0,0.0,0.0,R,17,49.87400449976715,30.71107809682364
1,REF,40.0,0.0,0.0,L,18,-40.85593161946096,28.826132412150038
1,REF,40.0,0.0,0.0,R,18,49.95137012630845,31.06595728293922
1,REF,40.0,0.0,0.0,L,19,-41.26741372068281,28.770804813892
1,REF,40.0,0.0,0.0,R,19,49.26580476292686,31.025081520395666
1,REF,40.0,0.0,0.0,L,20,-41.41312977020686,29.0857895140291
1,REF,40.0,0.0,0.0,R,20,49.27866756158448,31.03993616389827
1,REF,40.0,0.0,0.0,L,21,-40.79295551767011,28.584069877043383
1,REF,40.0,0.0,0.0,R,21,49.215677529862184,30.930741899861488
1,REF,40.0,0.0,0.0,L,22,-40.27087399402766,28.417381368448268
1,REF,40.0,0.0,0.0,R,22,49.31427811886437,30.70013064182986
1,REF,40.0,0.0,0.0,L,23,-40.21034407463681,28.60873594674507
1,REF,40.0,0.0,0.0,R,23,49.356396704964475,30.05063761205519
1,REF,40.0,0.0,0.0,L,24,-40.027895003939456,28.25963985827915
1,REF,40.0,0.0,0.0,R,24,49.16842496710601,30.706444773583186
1,REF,40.0,0.0,0.0,L,25,-40.53912563587479,28.405025095298615
1,REF,40.0,0.0,0.0,R,25,48.86469398647766,31.865074389616083
1,REF,40.0,0.0,0.0,L,26,-40.71775970721586,28.56253879889353
1,REF,40.0,0.0,0.0,R,26,48.948893295277216,32.62295144049538
1,REF,40.0,0.0,0.0,L,27,-41.65576886504258,28.29322794615961
1,REF,40.0,0.0,0.0,R,27,49.54966061049049,31.941085976308425
1,REF,40.0,0.0,0.0,L,28,-40.914396112148694,27.936530324106545
1,REF,40.0,0.0,0.0,R,28,48.29315806597579,31.809272933817653
1,REF,40.0,0.0,0.0,L,29,-40.556600252413716,27.93177320098134
1,REF,40.0,0.0,0.0,R,29,49.07230135768927,31.510773950510504
1,REF,40.0,0.0,0.0,L,30,-40.51366290723275,27.791028173079358
1,REF,40.0,0.0,0.0,R,30,49.67032480137266,32.0202066186853
1,REF,40.0,0.0,0.0,L,31,-40.08160774562673,28.07060414212004
1,REF,40.0,0.0,0.0,R,31,50.310111580084794,32.372338623251295
1,REF,40.0,0.0,0.0,L,32,-40.39782951080823,27.882152436094728
1,REF,40.0,0.0,0.0,R,32,49.97003701754556,32.01496848238356
1,REF,40.0,0.0,0.0,L,33,-40.36463277128452,27.7449703103309
1,REF,40.0,0.0,0.0,R,33,49.68126513300977,31.258549072913524
2,DIST,8.0,0.0,0.0,L,0,-40.25734150053132,26.462038250267682
2,DIST,8.0,0.0,0.0,R,0,50.175497402639934,30.855153189661586
2,DIST,8.0,0.0,0.0,L,1,-40.48634486449632,27.05458711234825
2,DIST,8.0,0.0,0.0,R,1,49.45987464635961,31.465537357211524
2,DIST,8.0,0.0,0.0,L,2,-40.97525648889852,27.006626603281095
2,DIST,8.0,0.0,0.0,R,2,48.451695771334606,31.431574477819403
2,DIST,8.0,0.0,0.0,L,3,-41.29058560658085,27.377009453978097
2,DIST,8.0,0.0,0.0,R,3,49.11611415979404,31.552884866950087
2,DIST,8.0,0.0,0.0,L,4,-41.19783755129701,26.81830587104926
2,DIST,8.0,0.0,0.0,R,4,50.00090834164412,31.19321781531394
2,DIST,8.0,0.0,0.0,L,5,-41.48989857316588,27.10527836555917
2,DIST,8.0,0.0,0.0,R,5,49.47257287417155,31.30119150106487
2,DIST,8.0,0.0,0.0,L,6,-41.25892437988691,26.63895902703531
2,DIST,8.0,0.0,0.0,R,6,49.050123782709875,31.438168729883525
2,DIST,8.0,0.0,0.0,L,7,-41.357483807041554,26.687297674276397
2,DIST,8.0,0.0,0.0,R,7,49.98445914984911,31.073581864213665
2,DIST,8.0,0.0,0.0,L,8,-40.99622560345098,26.479699633915253
2,DIST,8.0,0.0,0.0,R,8,49.806268226154195,31.340168303201764
2,DIST,8.0,0.0,0.0,L,9,-40.86761629703847,27.26857963871957
2,DIST,8.0,0.0,0.0,R,9,50.6038016737393,31.459294390859565
2,DIST,8.0,0.0,0.0,L,10,-41.20889013792734,27.285077506826525
2,DIST,8.0,0.0,0.0,R,10,50.30223169540058,31.962254452218602
2,DIST,8.0,0.0,0.0,L,11,-41.20791089163787,27.31609914239728
2,DIST,8.0,0.0,0.0,R,11,49.93960501820841,32.029139735150615
2,DIST,8.0,0.0,0.0,L,12,-41.13604099484971,27.526577534705773
2,DIST,8.0,0.0,0.0,R,12,49.70288553527991,31.489675207303012
2,DIST,8.0,0.0,0.0,L,13,-40.2015584999905,26.852579358928573
2,DIST,8.0,0.0,0.0,R,13,49.45220891373352,31.994081125843064
2,DIST,8.0,0.0,0.0,L,14,-40.898466612346084,27.497211936639182
2,DIST,8.0,0.0,0.0,R,14,50.09740407833519,32.017262551530365
2,DIST,8.0,0.0,0.0,L,15,-40.76610605215674,27.40333288184694
2,DIST,8.0,0.0,0.0,R,15,50.23368311866254,31.85289917698564
2,DIST,8.0,0.0,0.0,L,16,-41.35777115267218,27.253798221244892
2,DIST,8.0,0.0,0.0,R,16,50.241008196437164,32.01371559788359
2,DIST,8.0,0.0,0.0,L,17,-41.72097503172174,27.53598330082375
2,DIST,8.0,0.0,0.0,R,17,51.21899562152579,31.50989323045181
2,DIST,8.0,0.0,0.0,L,18,-41.3114277620049,26.927669258764258
2,DIST,8.0,0.0,0.0,R,18,51.58171837881394,31.34615960439806
2,DIST,8.0,0.0,0.0,L,19,-41.598857149772016,26.98423282350007
2,DIST,8.0,0.0,0.0,R,19,50.97391693843423,31.16156225439618
2,DIST,8.0,0.0,0.0,L,20,-41.502314327329465,27.766418247626532
2,DIST,8.0,0.0,0.0,R,20,50.8032689196032,31.571610296471963
2,DIST,8.0,0.0,0.0,L,21,-40.70343104291591,28.258331280451024
2,DIST,8.0,0.0,0.0,R,21,51.28259558231612,31.60583724416336
2,DIST,8.0,0.0,0.0,L,22,-40.90823407430287,28.15848798916557
